zip,work_outside_home,Commute,beh_read,beh_type,beh_handheld,beh_handfree,beh_app,acc_handheld,acc_handfree,acc_read,acc_type,acc_app,threat_talk,threat_type,threat_aggressive,threat_spdfwy,threat_spdres,threat_lights,threat_asleep,threat_alcohol,threat_cannabis,threat_app,legal_addgps,legal_gps1819,legal_handheld,legal_handheldstop,legal_handheldspkr,legal_911,legal_camera,legal_music1819,legal_readstop,legal_typestop,legal_handfree,legal_app1819,legal_video,will30_handheld,will30_type,will30_app,willever_tixtalk,willever_tixtext,willever_crashtalk,willever_crashtext,stop_family,stop_friends,stop_pass,stop_bt,stop_tix124,stop_tix240,stop_ins,stop_work,stop_app,stop_block,stop_crash,stop_kill,stop_none,Gender,Age,agegrp1,Race,Education,Income,drive30days,Urbanicity,weight,Language,legal_gps2122,legal_music2122,legal_app2122,year,month,day
98028,1,1,5,5,5,2,5,4,2,4,4,4,2,1,2,2,2,1,1,1,1,2,2,1,2,3,2,3,3,3,3,3,1,2,2,4,4,4,4,4,4,4,1,1,1,1,2,2,2,2,1,2,2,2,2,2,46,2,3,3,3,1,2,0.756265901,,,,,2018,6,17
98038,2,,5,5,5,5,5,3,3,3,3,3,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,3,3,2,3,3,3,2,2,4,4,4,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,78,4,4,3,1,1,2,6.422862646,,,,,2018,6,17
98122,1,3,5,5,5,5,5,4,2,4,4,4,2,2,2,2,1,1,1,1,2,2,3,1,3,3,3,1,3,3,3,3,1,3,3,4,4,4,4,4,4,4,1,1,1,2,1,1,1,2,2,1,1,1,2,2,34,1,3,3,1,2,1,0.514611982,,,,,2018,6,17
98118,2,,4,5,5,5,5,3,5,3,4,3,2,1,1,2,2,2,1,1,1,2,2,1,2,2,2,1,3,3,2,2,1,3,2,4,4,4,4,4,4,4,2,2,2,2,1,1,1,2,1,1,1,1,2,2,43,2,4,3,2,1,1,0.498098705,,,,,2018,6,17
98029,1,1,3,5,2,2,3,3,4,4,4,4,2,2,2,2,1,1,1,1,1,2,2,1,2,2,2,3,2,2,2,2,3,2,2,5,4,4,4,4,4,4,2,2,2,2,1,1,1,2,2,2,1,1,2,1,30,1,4,3,2,1,2,0.763773363,,,,,2018,6,17
98148,2,,5,5,5,5,5,3,2,3,3,3,2,2,2,3,2,2,2,2,2,2,3,1,2,2,2,1,3,3,3,3,1,3,2,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,29,1,3,3,1,2,2,0.514611982,,,,,2018,6,17
98052,1,1,5,5,3,2,3,3,2,3,4,3,2,1,2,2,1,1,1,1,1,2,2,1,2,2,2,1,2,2,2,2,1,2,2,3,3,2,3,4,3,4,1,1,1,1,1,1,1,2,1,2,2,2,2,2,37,2,3,4,5,1,2,1.831061862,,,,,2018,6,17
98031,2,,5,5,5,5,5,4,2,4,4,4,1,1,1,1,1,1,1,1,1,1,2,1,2,3,3,1,3,3,1,1,1,3,3,4,4,4,4,4,4,4,2,2,2,1,2,2,2,2,2,2,2,2,2,2,35,2,1,2,1,1,2,1.963444349,,,,,2018,6,17
98003,2,,5,5,5,5,5,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,3,2,3,2,2,1,2,2,4,4,4,4,4,4,4,1,1,1,2,2,1,1,2,2,1,1,1,2,2,62,3,3,2,2,1,2,0.591164704,,,,,2018,6,17
98144,2,,5,5,5,5,5,3,1,4,4,3,3,1,2,3,2,1,1,1,1,2,2,1,2,3,2,3,3,3,2,2,1,3,3,4,4,2,4,4,4,4,1,1,1,1,1,1,1,2,1,1,1,1,2,2,29,1,3,3,1,2,1,0.514611982,,,,,2018,6,17
98011,1,3,3,3,5,2,3,3,2,4,4,3,2,1,1,5,2,1,1,2,2,2,2,1,2,2,2,3,2,3,2,2,1,2,2,3,3,3,4,4,4,4,2,2,2,1,2,2,2,2,2,1,2,2,2,2,32,1,3,2,3,1,3,0.521126057,,,,,2018,6,17
98101,1,1,1,1,1,1,1,3,3,2,3,2,2,2,1,1,1,1,1,1,1,3,3,1,2,3,1,3,3,1,3,3,3,3,3,3,3,2,3,3,4,4,1,1,2,2,1,1,1,2,1,1,2,2,2,1,33,1,3,4,5,1,1,1.600093432,,,,,2018,6,17
98155,1,3,5,5,5,5,5,4,2,4,4,2,2,1,1,1,1,1,1,1,1,3,2,1,1,2,2,3,2,2,2,2,1,3,2,4,4,4,4,4,4,4,2,2,2,1,2,2,2,2,2,2,2,2,2,1,51,3,3,1,4,1,2,1.528801439,,,,,2018,6,17
98104,3,,5,5,5,2,5,4,1,4,4,4,5,1,3,3,1,1,1,1,2,2,2,1,2,2,2,3,3,1,2,2,1,2,2,4,4,3,4,4,4,4,1,1,1,1,2,2,1,1,1,2,1,1,2,1,38,2,2,1,1,3,1,0.908284711,,,,,2018,6,17
98007,1,1,1,5,5,5,4,3,1,2,4,2,2,1,1,1,1,1,1,1,1,3,3,1,3,3,1,1,3,1,1,3,1,3,3,2,4,3,3,4,4,4,1,1,1,1,2,1,1,2,2,2,1,1,2,1,31,1,3,4,3,1,2,0.533364477,,,,,2018,6,17
98003,1,1,6,3,5,5,5,4,3,3,4,4,2,2,1,3,2,1,1,2,2,5,3,1,3,1,1,1,3,1,1,1,3,3,2,4,3,3,4,4,4,4,1,2,1,2,1,2,2,1,1,1,2,1,2,2,19,1,2,2,4,2,2,0.742724986,,,,,2018,6,17
98168,2,,5,5,5,5,5,4,2,4,4,4,3,1,1,1,1,1,1,1,1,1,2,3,2,2,2,2,2,2,2,2,3,2,2,4,4,4,4,4,4,4,2,2,2,1,2,2,2,2,2,2,2,2,2,2,73,4,3,3,2,1,2,0.788583249,,,,,2018,6,17
98391,1,1,5,5,4,3,5,3,1,3,4,3,2,1,1,1,1,1,1,1,1,2,2,1,2,3,1,1,3,1,3,3,1,1,2,4,4,4,4,4,4,4,2,2,2,1,1,1,1,2,2,2,1,1,2,1,42,2,3,4,2,1,2,0.695852517,,,,,2018,6,17
98102,1,1,2,2,2,5,1,2,4,2,3,2,3,2,3,3,2,1,1,1,1,3,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,2,2,1,2,2,1,2,2,2,2,1,1,2,2,37,2,3,4,2,1,1,0.617983378,,,,,2018,6,17
98034,2,,5,5,5,5,5,4,2,4,4,5,2,1,1,2,1,1,1,1,1,2,1,1,2,3,2,1,3,3,3,3,1,3,2,4,4,4,4,4,4,4,1,1,2,1,1,1,1,1,1,1,1,1,2,2,67,4,3,3,3,1,2,0.778847653,,,,,2018,6,17
98134,2,,4,2,5,2,5,4,1,3,4,3,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,2,2,1,1,2,4,4,1,3,4,4,4,2,2,2,2,2,1,2,2,1,2,1,2,2,2,29,1,1,1,2,1,2,0.838384123,,,,,2018,6,17
98121,1,4,5,5,4,5,5,3,2,4,4,3,2,1,2,2,2,1,1,1,2,2,3,1,1,1,1,1,1,3,1,1,1,1,2,4,4,4,3,3,3,3,2,2,2,2,1,1,2,2,2,2,1,1,2,1,41,2,1,3,2,1,1,1.947407315,,,,,2018,6,17
98055,1,1,5,5,5,2,5,4,1,3,3,3,2,2,2,3,3,1,1,1,1,2,3,1,1,2,2,3,1,1,1,1,1,1,2,4,4,4,4,4,4,4,1,1,2,1,2,2,2,2,1,2,2,2,2,2,34,1,3,3,1,1,1,0.514611982,,,,,2018,6,17
98058,1,1,5,5,5,3,5,4,1,4,4,4,3,1,1,1,1,1,1,1,1,1,3,1,2,2,3,3,2,3,2,2,1,3,2,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,1,2,58,3,3,1,2,1,3,0.591164704,,,,,2018,6,17
98188,1,1,5,5,5,1,5,3,1,4,4,4,3,1,1,2,1,1,1,1,1,2,2,1,2,1,2,1,2,1,2,2,1,2,2,4,4,4,4,4,4,4,2,2,2,1,2,2,2,2,2,2,2,2,2,1,48,2,3,3,2,1,2,0.619164583,,,,,2018,6,17
98177,1,1,3,3,3,2,3,3,2,2,3,3,2,2,2,2,1,1,1,1,1,2,2,1,2,3,2,3,3,1,1,1,1,3,2,3,3,2,3,3,3,3,2,2,2,2,1,1,2,2,1,1,1,1,2,2,43,2,4,3,3,1,2,0.491949338,,,,,2018,6,17
98047,2,,5,5,4,3,4,4,1,4,4,2,1,1,1,1,1,1,1,1,1,1,3,1,2,3,2,1,3,1,3,3,1,2,2,4,4,4,4,4,4,4,1,2,1,2,1,1,1,1,1,1,2,1,2,2,50,3,3,3,1,2,2,0.746812577,,,,,2018,6,17
98125,1,1,5,5,5,5,5,4,2,4,4,3,2,1,2,3,2,2,1,3,3,2,2,1,2,3,3,3,3,1,1,1,1,2,2,4,4,4,4,4,4,4,2,2,2,2,1,1,1,2,2,2,1,1,2,1,70,4,3,3,3,1,2,0.61528162,,,,,2018,6,17
98198,1,1,5,5,5,3,5,3,2,4,4,4,1,1,1,1,1,1,1,1,1,1,2,3,2,2,2,3,2,3,2,2,3,2,2,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,2,2,50,3,3,1,3,1,2,0.756265901,,,,,2018,6,17
98101,1,5,3,5,6,1,4,3,2,3,1,3,3,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,2,2,2,2,2,2,2,4,4,4,4,4,4,4,2,2,2,1,2,2,2,2,2,2,2,2,2,1,51,3,3,1,1,1,2,0.603876568,,,,,2018,6,17
98125,1,1,5,5,5,5,5,4,2,4,4,4,1,1,1,1,1,1,1,1,1,1,3,3,2,2,2,1,3,3,2,2,1,2,2,4,4,4,4,4,4,4,2,2,2,1,1,1,1,2,1,1,1,1,2,2,39,2,7,3,3,2,1,0.491949338,,,,,2018,6,17
98104,1,1,5,5,5,5,5,4,4,4,4,4,2,2,2,3,2,3,2,1,1,2,2,1,3,2,2,1,2,2,2,2,2,2,2,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,1,1,21,1,8,4,1,1,1,0.555738544,,,,,2018,6,17
98122,2,,5,5,5,5,5,4,4,4,4,4,1,1,1,2,1,1,1,1,1,1,2,2,2,2,2,3,2,2,2,2,2,2,2,4,4,4,4,4,4,4,2,2,1,2,1,1,1,2,2,1,1,1,2,1,61,3,3,3,1,2,1,0.599948481,,,,,2018,6,17
98058,3,,3,5,5,5,3,2,2,2,3,2,3,2,2,2,2,1,1,1,1,3,1,1,2,2,2,1,2,2,2,2,1,2,2,3,2,2,3,3,4,3,2,2,2,1,2,2,2,2,2,2,2,2,2,2,36,2,3,4,3,1,2,0.610353954,,,,,2018,6,17
98010,1,1,5,5,5,5,5,3,2,3,4,4,2,1,1,3,3,1,1,1,2,1,2,1,2,2,2,1,2,1,2,2,1,2,2,4,4,4,4,4,4,4,2,2,1,1,1,1,1,2,2,1,1,1,2,1,26,1,7,1,2,1,1,0.763773363,,,,,2018,6,17
98118,1,3,5,5,5,5,5,4,3,4,4,4,1,1,1,2,1,1,1,1,1,1,2,3,2,2,2,3,2,2,2,2,3,2,2,4,4,4,3,3,4,4,1,1,1,2,1,1,2,2,2,2,1,1,2,2,21,1,3,1,2,2,2,0.994759289,,,,,2018,6,17
98003,1,1,5,5,5,3,5,3,1,4,4,3,1,1,1,2,1,1,1,1,2,2,2,1,2,2,2,1,2,2,2,2,1,2,2,4,4,4,3,3,4,4,2,2,2,1,2,1,1,2,1,2,1,1,2,2,43,2,2,2,2,1,1,1.284637437,,,,,2018,6,17
98168,1,1,5,5,5,5,5,4,2,4,4,4,2,1,1,2,2,1,1,1,1,2,1,1,2,2,2,3,3,2,2,2,1,2,2,4,4,4,4,4,4,4,1,2,1,2,1,1,1,2,1,1,1,1,2,2,48,2,5,2,3,1,1,1.642569739,,,,,2018,6,17
98058,1,1,2,3,3,3,3,4,2,3,4,3,1,1,1,1,1,1,1,1,3,1,2,1,2,2,2,1,2,1,2,2,1,2,2,3,4,3,3,3,4,4,2,2,2,2,2,2,2,2,1,1,1,1,2,2,35,2,3,2,2,1,1,0.617983378,,,,,2018,6,17
98045,1,1,4,6,4,3,5,4,2,4,4,4,4,2,1,1,1,1,1,1,1,2,3,1,3,1,3,1,3,1,1,3,1,2,2,4,5,4,3,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,2,2,23,1,2,2,1,2,1,0.293376369,,,,,2018,6,17
98166,2,,5,5,5,5,5,4,4,4,4,4,1,1,1,2,1,1,1,1,1,1,2,3,2,1,2,1,1,2,1,1,3,2,2,4,4,4,4,4,4,4,1,1,1,2,1,1,1,2,1,1,1,1,2,1,74,4,3,3,1,1,2,0.6075906,,,,,2018,6,17
98045,2,,3,5,5,2,3,4,2,4,4,3,2,1,2,3,2,1,1,1,2,2,2,1,2,2,2,3,2,3,2,2,1,2,2,4,4,3,4,4,4,3,2,2,2,1,2,2,1,1,1,1,1,1,2,1,75,4,3,2,2,1,3,0.767491992,,,,,2018,6,17
98033,2,,3,3,3,5,5,3,2,3,4,4,2,2,1,3,2,1,2,1,2,1,2,1,2,2,2,1,3,1,1,3,1,2,2,2,2,4,2,2,3,3,2,2,1,2,1,2,1,2,2,2,1,1,2,1,25,1,3,2,3,1,2,0.533364477,,,,,2018,6,17
98034,1,1,4,3,3,3,3,3,1,3,3,3,3,2,1,3,2,1,1,1,1,2,1,1,2,2,1,1,2,1,1,1,1,1,1,4,4,2,4,4,4,4,2,2,1,1,1,1,1,2,1,1,1,1,2,2,45,2,3,3,2,1,2,0.765719225,,,,,2018,6,17
98115,2,,5,5,5,2,5,3,2,4,4,4,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,3,2,2,2,2,1,3,2,4,4,4,4,4,4,4,2,2,2,1,2,2,2,2,2,2,2,2,2,2,74,4,3,1,1,1,2,0.769112058,,,,,2018,6,17
98105,2,,3,4,3,5,1,2,1,3,4,3,3,2,2,3,2,1,1,1,3,2,3,1,1,1,3,1,3,1,2,2,1,3,2,2,3,2,3,3,4,3,1,1,1,1,1,1,1,2,2,2,1,1,2,2,25,1,3,4,2,1,1,0.527640133,,,,,2018,6,17
98125,1,1,1,2,5,1,2,3,1,3,3,1,2,2,1,2,1,1,1,1,4,1,2,1,2,2,2,1,1,1,1,1,1,1,2,2,2,1,2,3,4,4,2,2,2,2,2,1,1,2,2,2,2,1,2,2,29,1,3,1,3,1,1,0.521126057,,,,,2018,6,17
98011,1,1,1,5,5,5,5,4,3,4,4,4,1,1,1,2,1,1,1,1,1,1,2,1,2,2,2,1,2,2,2,2,1,2,2,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,2,2,1,1,2,2,59,3,3,1,1,1,2,0.576568044,,,,,2018,6,17
98031,2,,5,5,5,5,5,4,4,4,4,4,1,1,2,2,1,1,1,1,1,1,3,3,2,3,2,3,2,3,2,2,3,3,3,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,1,62,3,4,2,1,1,2,1.183395563,,,,,2018,6,17
98003,2,,5,5,5,5,5,4,2,4,4,3,2,1,2,3,2,2,2,1,1,2,2,1,2,3,2,1,3,3,3,3,1,2,2,4,4,4,4,4,4,4,1,1,1,1,1,1,1,2,1,1,1,1,2,2,57,3,3,3,5,1,2,1.751599122,,,,,2018,6,17
98072,2,,2,3,5,2,3,3,2,3,3,3,2,2,1,3,1,1,1,1,1,2,3,3,2,2,3,3,2,1,2,2,2,2,2,4,2,3,4,4,3,3,2,2,1,2,1,1,2,2,2,1,1,1,2,2,32,1,3,3,3,1,2,0.521126057,,,,,2018,6,17
98115,1,1,5,5,5,5,5,3,1,3,4,3,2,2,1,2,1,1,1,1,2,2,2,1,2,2,2,1,2,1,2,2,1,2,2,4,4,4,4,4,4,4,2,2,2,1,1,1,1,2,1,2,1,1,2,2,49,2,3,2,2,1,1,0.765719225,,,,,2018,6,17
98001,1,1,5,5,5,2,5,3,2,3,3,3,2,1,1,2,1,2,1,1,1,1,2,1,2,2,2,1,2,2,2,2,1,2,2,4,4,4,4,4,4,4,1,1,1,1,1,1,1,2,2,2,2,2,2,2,55,3,8,3,3,1,2,3.972094259,,,,,2018,6,17
98115,1,6,3,3,3,3,5,3,3,3,3,2,2,1,1,2,1,1,1,1,2,2,2,1,3,2,2,1,2,2,2,2,1,2,2,4,3,2,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,2,2,38,2,5,3,2,1,1,0.498098705,,,,,2018,6,17
98010,2,,5,5,5,5,5,4,3,4,4,4,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,2,2,2,2,2,2,2,4,4,4,4,4,4,4,2,2,2,2,1,1,1,2,2,2,1,1,2,2,72,4,3,2,1,1,2,0.769112058,,,,,2018,6,17
98042,2,,4,5,5,2,5,4,1,4,4,4,1,1,2,2,2,1,1,1,2,1,2,1,2,2,2,1,2,2,1,2,1,1,2,4,4,4,4,4,4,4,1,1,1,1,1,1,1,2,1,1,1,1,2,2,47,2,3,4,2,1,2,0.765719225,,,,,2018,6,17
98052,1,1,5,5,3,5,5,3,2,3,4,4,2,1,2,3,1,1,1,2,1,2,3,1,1,2,3,1,3,3,2,2,1,3,2,4,4,4,4,4,4,4,2,2,2,1,2,2,2,2,2,2,2,2,2,1,57,3,3,3,3,1,1,0.607542766,,,,,2018,6,17
98019,2,,5,5,5,5,5,4,2,4,4,4,2,1,1,2,1,1,1,1,1,2,2,1,2,2,2,1,2,1,1,1,1,1,2,4,4,4,4,4,4,4,2,2,2,1,1,1,1,2,1,2,1,1,2,2,55,3,3,2,5,1,3,1.751599122,,,,,2018,6,17
98056,2,,5,5,5,5,5,4,2,4,4,4,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,2,1,2,2,1,2,2,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,2,2,38,2,3,2,2,1,1,0.617983378,,,,,2018,6,17
98117,1,1,3,3,3,3,3,3,2,3,3,3,3,2,2,2,2,1,1,1,2,2,2,1,2,2,2,3,2,3,2,2,1,2,2,3,3,3,3,3,3,3,2,2,1,2,2,2,2,2,2,1,1,1,2,2,21,1,3,2,4,1,1,2.456195776,,,,,2018,6,17
98058,2,,5,5,4,1,3,3,1,4,4,2,2,1,1,3,2,1,1,1,2,3,3,3,2,1,2,1,3,3,3,2,1,3,2,4,3,2,4,3,3,4,2,2,2,1,2,2,1,2,2,2,1,1,2,2,45,2,3,3,2,1,2,0.765719225,,,,,2018,6,17
98011,1,1,1,1,1,1,1,3,3,3,3,3,1,1,1,3,1,1,1,1,2,2,3,1,2,2,2,3,2,3,2,2,1,2,2,2,2,2,4,4,4,4,1,1,1,1,2,1,1,2,1,1,1,1,2,2,25,1,3,1,4,1,3,1.302815143,,,,,2018,6,17
98058,1,1,3,3,3,3,3,4,4,4,4,4,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,3,4,3,4,4,1,1,1,1,1,1,1,1,1,1,1,1,2,2,45,2,3,2,1,1,2,0.746812577,,,,,2018,6,17
98033,1,1,5,5,3,5,5,2,1,4,4,4,3,1,1,2,1,1,1,1,3,1,2,1,2,2,2,3,2,3,2,2,1,2,2,2,4,4,2,4,3,4,2,2,1,1,1,1,1,2,2,1,2,2,2,2,23,1,3,3,1,1,2,0.970197332,,,,,2018,6,17
98198,2,,5,5,5,5,5,2,2,4,4,4,4,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,2,1,2,2,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,2,2,57,3,3,2,1,1,2,0.576568044,,,,,2018,6,17
98002,1,1,5,5,5,1,3,1,1,3,3,2,3,3,2,2,2,2,1,1,1,3,2,1,2,2,2,1,2,2,2,2,1,2,2,4,4,2,4,4,4,4,1,1,1,2,2,2,2,2,2,2,2,2,2,1,57,3,3,2,3,1,1,0.607542766,,,,,2018,6,17
98125,1,3,5,5,5,2,3,3,1,3,3,3,2,2,2,3,2,1,1,1,1,3,2,1,2,1,1,1,1,2,1,1,1,2,2,4,3,3,4,4,4,4,2,2,2,2,2,2,2,2,1,2,1,1,2,2,53,3,3,4,5,1,1,2.268797703,,,,,2018,6,17
98030,2,,5,5,5,3,5,4,2,2,4,4,2,1,1,2,2,1,1,2,3,2,3,1,2,2,3,3,3,3,2,2,1,3,2,4,4,4,4,4,2,2,2,2,2,2,1,1,1,2,2,1,2,2,2,2,30,1,4,4,3,1,2,0.534397246,,,,,2018,6,17
98119,1,3,3,3,3,3,3,3,3,3,3,3,2,2,2,1,1,1,1,1,1,2,3,1,2,2,2,1,3,3,3,3,1,3,2,3,3,3,3,3,3,3,1,1,1,2,1,1,1,2,1,2,1,1,2,2,44,2,1,3,3,1,1,1.988298075,,,,,2018,6,17
98126,1,1,5,5,5,5,5,4,3,4,4,4,1,1,1,2,1,1,1,1,1,2,2,1,2,2,2,1,2,2,2,2,1,2,2,4,4,4,3,4,4,4,1,1,1,2,2,1,2,2,2,2,2,2,2,2,70,4,3,2,2,1,2,0.788583249,,,,,2018,6,17
98032,2,,5,5,5,5,5,3,2,3,3,3,2,2,2,2,2,2,1,2,3,2,3,1,2,2,2,1,1,1,1,2,1,2,2,4,4,4,4,4,4,4,2,2,2,1,1,1,1,2,2,2,1,1,2,1,52,3,2,1,1,2,2,0.427458696,,,,,2018,6,17
98168,2,,5,5,5,3,5,4,2,4,4,3,2,1,2,3,2,1,1,1,1,2,2,1,2,2,3,3,2,2,3,3,1,2,2,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,2,2,29,1,3,2,2,1,1,0.527640133,,,,,2018,6,17
98125,3,,5,5,5,3,5,4,2,3,4,5,2,1,2,5,1,1,2,1,2,2,3,1,2,2,2,3,2,2,2,2,1,3,2,3,4,4,3,3,4,4,1,2,2,1,1,1,1,2,1,1,1,1,2,1,73,4,8,2,1,1,1,2.202997327,,,,,2018,6,17
98038,2,,5,5,5,5,3,4,2,4,4,2,1,1,1,3,1,1,1,1,2,2,2,1,2,1,2,2,2,2,1,1,2,2,2,3,4,3,4,4,4,3,1,1,2,2,2,2,2,2,2,2,2,2,2,1,22,1,3,2,2,1,3,0.541231061,,,,,2018,6,17
98031,2,,5,5,4,3,6,4,2,4,4,3,2,3,1,2,2,1,1,1,1,2,2,2,1,2,2,1,2,1,2,3,1,3,2,3,3,3,4,4,4,4,1,2,2,2,1,2,1,2,2,2,1,2,2,2,34,1,4,3,2,1,2,0.541077212,,,,,2018,6,17
98052,1,3,4,5,4,4,4,3,2,5,4,3,5,1,1,2,1,1,1,1,1,2,3,1,1,2,2,1,2,1,1,2,1,1,2,3,4,4,3,4,3,4,1,1,2,2,1,1,2,1,2,2,2,1,2,2,19,1,4,2,4,1,2,1.92150217,,,,,2018,6,17
98055,1,3,3,3,3,3,3,5,2,3,3,3,2,2,1,1,1,1,1,1,1,2,3,3,2,2,2,3,2,2,2,2,1,2,2,3,3,3,3,3,3,3,2,2,2,1,1,1,1,2,2,2,1,1,2,2,49,2,3,3,2,1,2,0.765719225,,,,,2018,6,17
98002,2,,5,5,5,5,5,3,4,4,4,4,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,1,1,1,2,2,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,1,1,52,3,3,1,1,1,2,0.603876568,,,,,2018,6,17
98109,2,,1,5,2,1,3,3,3,3,4,1,2,2,2,1,2,1,3,1,2,2,1,1,2,1,2,2,2,1,1,1,1,3,2,4,3,4,3,3,4,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,27,1,4,4,3,1,2,0.534397246,,,,,2018,6,17
98028,1,1,3,4,5,2,3,3,2,3,3,5,2,2,2,2,1,2,1,1,1,5,2,2,2,3,2,3,3,3,3,3,1,3,2,4,4,5,3,3,3,3,1,1,1,1,1,1,1,1,2,2,2,1,2,2,45,2,3,2,3,1,2,0.756265901,,,,,2018,6,17
